header,x1,y1,x2,y2,modal,tooltip
traditional special pay rate,914,1240,1169,1338,tsp,Percentage of specialty pay elected for traditional TSP contribution
traditional special pay current,1170,1240,1454,1338,tsp,This field is currently unused by DFAS
traditional incentive pay rate,1454,1240,1664,1338,tsp,Percentage of incentive pay elected for traditional TSP contribution
traditional incentive pay current,1664,1240,1919,1338,tsp,This field is currently unused by DFAS
traditional bonus pay rate,1920,1240,2174,1338,tsp,Percentage of bonus pay elected for traditional TSP contribution
traditional bonus pay current,2174,1240,2474,1338,tsp,This field is currently unused by DFAS
roth tsp,74,1340,374,1438,tsp,Roth Thrift Savings Plan (TSP)
roth base pay rate,376,1340,614,1438,tsp,Percentage of base pay elected for roth TSP contributions
roth base pay current,614,1340,914,1438,tsp,This field is currently unused by DFAS
roth special pay rate,914,1340,1169,1438,tsp,Percentage of specialty pay elected for roth TSP contribution
roth special pay current,1170,1340,1454,1438,tsp,This field is currently unused by DFAS
roth incentive pay rate,1454,1340,1664,1438,tsp,Percentage of incentive pay elected for roth TSP contribution
roth incentive pay current,1664,1340,1919,1438,tsp,This field is currently unused by DFAS
roth bonus pay rate,1920,1340,2174,1438,tsp,Percentage of bonus pay elected for roth TSP contribution
roth bonus pay current,2174,1340,2474,1438,tsp,This field is currently unused by DFAS
contributions total,74,1440,374,1538,tsp,Contributions total
ytd deductions,376,1440,695,1538,tsp,Amount of YTD TSP contributions (combined Traditional and Roth)
ytd tsp deferred,696,1440,1013,1538,tsp,Amount of YTD TSP contributions deferred for tax purposes. Typically same as total Traditional TSP contributions unless contributions were made in a combat zone
ytd tsp exempt,1014,1440,1332,1538,tsp,Amount of YTD TSP contributions that tax exempt. TSP contributions (whether Traditional or Roth) made in a combat zone are tax-exempt
ytd roth,1334,1440,1652,1538,tsp,Amount of YTD TSP contributions post-tax. Typically same as total Roth TSP contributions unless contributions were made in a combat zone
ytd tsp agency auto,1652,1440,2042,1538,tsp,Total YTD auto contributions (1%) made by the member's contributing agency.
ytd tsp agency match,2044,1440,2474,1538,tsp,Total YTD matched contributions (additional 1%-4%) made by the member's contributing agency. Additional percentage depends on base pay rate.
cm agency contribution,74,1540,374,1642,tsp,Contributing agency
cm agency auto,376,1540,724,1642,tsp,Monthly auto contributions (1%) made by the member's contributing agency
cm agency match,724,1540,1074,1642,tsp,Monthly matched contributions (additional 1%-4%) made by the member's contributing agency. Additional percentage depends on base pay rate.
leave,1074,1540,1253,1642,leave,Leave
leave initial balance,1252,1540,1404,1642,leave,"Brought forward leave balance. Balance may be at the beginning of the fiscal year, when active duty for the member began, or the day after the member was paid a Lump Sum Leave (LSL)"
leave earned,1406,1540,1553,1642,leave,Cumulative amount of leave earned in the current fiscal year or current term of enlistement if the member reenlisted/extended since the beginning of the fiscal year. Normally increases by 2.5 days each month
leave used,1552,1540,1704,1642,leave,Amount of leave used in the current fiscal year or current term of enlistement if member reenlisted/extended since the beginning of the fiscal year
leave current balance,1706,1540,1824,1642,leave,Current leave balance at the end of the LES period
leave ets balance,2306,1540,2474,1642,leave,Projected leave balance to the member's Expiration Term of Service (ETS)
leave lost,1826,1540,1974,1642,leave,Amount of leave days that have been lost
leave paid,1976,1540,2154,1642,leave,Amount of leave days that have been paid
leave use lose,2156,1540,2304,1642,leave,Projected number of days of leave that will be lost if the member does not take them in the current fiscal year on a monthly basis. The number of days in this block will decrease with any leave usage
ytd entitlements,590,1720,950,1766,none,Amount of YTD entitlements
ytd deductions,1150,1720,1520,1766,none,Amount of YTD deductions
remarks,74,1766,2474,2530,none,This area is used to provide general notices
